Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
243000,0.94062704,0.43130958,None,None,None,1.0
244000,0.9080456,-0.035665594,499.0,9.483749259263277,9.483749259263277,1.0
245000,1.0355392,-1.019258,None,None,None,1.0
246000,0.99009657,-0.49586064,499.0,-4.363749781623483,-4.363749781623483,1.0
247000,0.87224144,0.26011977,None,None,None,1.0
248000,0.84011513,0.16300407,499.0,2.3199996799230576,2.3199996799230576,1.0
249000,0.80722904,0.22484627,None,None,None,1.0
250000,0.955331,0.009647876,499.0,5.1974995620548725,5.1974995620548725,1.0
251000,1.0325894,0.6974962,None,None,None,1.0
252000,0.88239783,0.38631517,499.0,1.7449998874217272,1.7449998874217272,1.0
253000,0.84307724,0.90672207,None,None,None,1.0
254000,0.88012296,0.77403045,499.0,8.641249239444733,8.641249239444733,1.0
255000,0.91482973,0.6745061,None,None,None,1.0
256000,0.83461154,0.57889813,499.0,6.693749571219087,6.693749571219087,1.0
257000,0.85497785,0.954746,499.0,None,None,1.0
258000,0.90070397,0.5561233,499.0,9.774999348446727,9.774999348446727,1.0
259000,0.8903012,-0.81378245,None,None,None,1.0
260000,0.82794845,-0.51019335,499.0,-1.0325001403689384,-1.0325001403689384,1.0
261000,0.80954325,0.60608804,None,None,None,1.0
262000,0.72383505,0.6815913,499.0,10.96124932472594,10.96124932472594,1.0
263000,0.7226467,1.0801544,None,None,None,1.0
264000,0.7459388,1.0363688,499.0,10.662499323487282,10.662499323487282,1.0
265000,0.8042119,0.776418,None,None,None,1.0
266000,0.93461007,0.47256297,499.0,11.122499093413353,11.122499093413353,1.0
267000,0.94537395,-0.7096448,499.0,None,None,1.0
268000,0.7769122,0.03978911,499.0,-6.111249653622508,-6.111249653622508,1.0
269000,0.8218229,0.6077298,None,None,None,1.0
270000,0.85171056,0.23680478,499.0,5.00374960899353,5.00374960899353,1.0
271000,0.8523208,0.11679209,None,None,None,1.0
272000,0.77054596,0.616264,499.0,-0.3850000500679016,-0.3850000500679016,1.0
273000,0.774159,0.9544954,None,None,None,1.0
274000,0.83648556,0.42780513,499.0,11.517499178647995,11.517499178647995,1.0
275000,0.85220957,-0.22697774,None,None,None,1.0
276000,0.8196031,0.6291275,499.0,3.5812496542930603,3.5812496542930603,1.0
277000,0.9651005,-0.16822979,None,None,None,1.0
278000,0.8799187,-0.039842438,499.0,-2.5849997866898775,-2.5849997866898775,1.0
279000,0.76962173,1.0991449,None,None,None,1.0
280000,0.84613276,0.8184638,499.0,6.733749493956566,6.733749493956566,1.0
281000,0.8302403,0.09714906,None,None,None,1.0
282000,0.8128461,0.52800536,499.0,0.13375002145767212,0.13375002145767212,1.0
283000,0.97853476,0.9659469,None,None,None,1.0
284000,0.9703983,0.77921426,499.0,4.9487496772781014,4.9487496772781014,1.0
285000,0.89774626,0.8702539,None,None,None,1.0
286000,0.7698404,0.977483,499.0,7.838749408721924,7.838749408721924,1.0
287000,0.8747504,0.039635375,None,None,None,1.0
288000,0.85502326,-0.06074114,531.5,3.224999805291494,3.224999805291494,1.0
289000,0.89650637,-0.57490957,None,-9.639999508857727,-9.639999508857727,1.0
290000,0.8490223,-0.19517049,499.0,-12.229999204476675,-12.229999204476675,1.0
291000,0.83121204,0.56856215,499.0,10.689999222755432,10.689999222755432,1.0
292000,0.852592,0.045522116,499.0,11.379999160766602,11.379999160766602,1.0
293000,0.83321303,0.09065241,499.0,-12.389999270439148,-12.389999270439148,1.0
294000,0.77101856,0.59325576,499.0,2.659999797741572,2.659999797741572,1.0
295000,0.8043679,1.0206926,499.0,11.119998812675476,11.119998812675476,1.0
296000,0.81255007,0.95475507,499.0,11.573332488536835,11.573332488536835,1.0
297000,0.8263826,0.31648797,499.0,8.009999573230743,8.009999573230743,1.0
298000,0.80458814,0.27056885,499.0,2.9333332180976868,2.9333332180976868,1.0
299000,0.799153,0.46442023,None,-12.439999222755432,-12.439999222755432,1.0
300000,0.84042937,0.71510434,499.0,4.096666256586711,4.096666256586711,1.0
301000,0.80644155,0.8351284,499.0,11.489999055862427,11.489999055862427,1.0
302000,0.8111874,0.8445475,499.0,11.534999072551727,11.534999072551727,1.0
303000,0.7686713,0.99818206,599.0,10.374999286606908,10.374999286606908,1.0
304000,0.7569996,1.1217394,499.0,10.62749932706356,10.62749932706356,1.0
305000,0.7219009,1.2975012,499.0,11.464999079704285,11.464999079704285,1.0
306000,0.7412386,1.2684293,499.0,11.929999232292175,11.929999232292175,1.0
307000,0.7994207,0.1906417,499.0,11.59499916434288,11.59499916434288,1.0
