년도,구분,죄종,발생검거,건수
2018,송파,절도,검거,1034
2018,송파,폭력,발생,3135
2018,송파,폭력,검거,2749
2018,노원,살인,발생,5
2018,노원,살인,검거,4
2018,노원,강도,발생,5
2018,노원,강도,검거,5
2018,노원,강간,발생,194
2018,노원,강간,검거,173
2018,노원,절도,발생,1422
2018,노원,절도,검거,585
2018,노원,폭력,발생,2381
2018,노원,폭력,검거,1958
2018,방배,살인,발생,0
2018,방배,살인,검거,0
2018,방배,강도,발생,1
2018,방배,강도,검거,1
2018,방배,강간,발생,63
2018,방배,강간,검거,41
2018,방배,절도,발생,369
2018,방배,절도,검거,165
2018,방배,폭력,발생,487
2018,방배,폭력,검거,423
2018,은평,살인,발생,4
2018,은평,살인,검거,4
2018,은평,강도,발생,1
2018,은평,강도,검거,1
2018,은평,강간,발생,130
2018,은평,강간,검거,117
2018,은평,절도,발생,773
2018,은평,절도,검거,491
2018,은평,폭력,발생,1308
2018,은평,폭력,검거,1158
2018,도봉,살인,발생,1
2018,도봉,살인,검거,1
2018,도봉,강도,발생,5
2018,도봉,강도,검거,3
2018,도봉,강간,발생,113
2018,도봉,강간,검거,117
2018,도봉,절도,발생,781
2018,도봉,절도,검거,431
2018,도봉,폭력,발생,1349
2018,도봉,폭력,검거,1124
2018,수서,살인,발생,5
2018,수서,살인,검거,5
2018,수서,강도,발생,5
2018,수서,강도,검거,2
2018,수서,강간,발생,194
2018,수서,강간,검거,171
2018,수서,절도,발생,984
2018,수서,절도,검거,481
2018,수서,폭력,발생,1697
2018,수서,폭력,검거,1443
2019,중부,살인,발생,1
2019,중부,살인,검거,1
2019,중부,강도,발생,4
2019,중부,강도,검거,4
2019,중부,강간,발생,127
2019,중부,강간,검거,76
2019,중부,절도,발생,1198
2019,중부,절도,검거,574
2019,중부,폭력,발생,1135
2019,중부,폭력,검거,944
2019,종로,살인,발생,2
2019,종로,살인,검거,2
2019,종로,강도,발생,5
2019,종로,강도,검거,4
2019,종로,강간,발생,152
2019,종로,강간,검거,122
2019,종로,절도,발생,816
2019,종로,절도,검거,369
2019,종로,폭력,발생,1248
2019,종로,폭력,검거,1058
2019,남대문,살인,발생,1
2019,남대문,살인,검거,0
2019,남대문,강도,발생,2
2019,남대문,강도,검거,1
2019,남대문,강간,발생,68
2019,남대문,강간,검거,39
2019,남대문,절도,발생,1004
2019,남대문,절도,검거,476
2019,남대문,폭력,발생,786
2019,남대문,폭력,검거,688
2019,서대문,살인,발생,2
2019,서대문,살인,검거,1
2019,서대문,강도,발생,5
2019,서대문,강도,검거,5
2019,서대문,강간,발생,175
2019,서대문,강간,검거,154
2019,서대문,절도,발생,1226
2019,서대문,절도,검거,600
2019,서대문,폭력,발생,1533
2019,서대문,폭력,검거,1258
2019,혜화,살인,발생,2
2019,혜화,살인,검거,1
2019,혜화,강도,발생,2
2019,혜화,강도,검거,2
2019,혜화,강간,발생,86
2019,혜화,강간,검거,55
2019,혜화,절도,발생,699
2019,혜화,절도,검거,364
2019,혜화,폭력,발생,832
2019,혜화,폭력,검거,732
2019,용산,살인,발생,3
2019,용산,살인,검거,3
2019,용산,강도,발생,3
2019,용산,강도,검거,4
2019,용산,강간,발생,272
2019,용산,강간,검거,237
2019,용산,절도,발생,999
2019,용산,절도,검거,544
2019,용산,폭력,발생,2035
2019,용산,폭력,검거,1821
2019,성북,살인,발생,2
2019,성북,살인,검거,2
2019,성북,강도,발생,0
2019,성북,강도,검거,0
2019,성북,강간,발생,117
2019,성북,강간,검거,75
2019,성북,절도,발생,442
2019,성북,절도,검거,259
2019,성북,폭력,발생,737
2019,성북,폭력,검거,674
2019,동대문,살인,발생,6
2019,동대문,살인,검거,6
2019,동대문,강도,발생,10
2019,동대문,강도,검거,9
2019,동대문,강간,발생,168
2019,동대문,강간,검거,143
2019,동대문,절도,발생,1531
2019,동대문,절도,검거,827
2019,동대문,폭력,발생,1975
2019,동대문,폭력,검거,1831
2019,마포,살인,발생,2
2019,마포,살인,검거,2
2019,마포,강도,발생,2
2019,마포,강도,검거,2
2019,마포,강간,발생,495
2019,마포,강간,검거,417
2019,마포,절도,발생,2190
2019,마포,절도,검거,917
2019,마포,폭력,발생,2153
2019,마포,폭력,검거,1832
2019,영등포,살인,발생,10
2019,영등포,살인,검거,10
2019,영등포,강도,발생,3
2019,영등포,강도,검거,3
2019,영등포,강간,발생,356
2019,영등포,강간,검거,239
2019,영등포,절도,발생,2409
2019,영등포,절도,검거,1068
2019,영등포,폭력,발생,3039
2019,영등포,폭력,검거,2465
2019,성동,살인,발생,6
2019,성동,살인,검거,5
2019,성동,강도,발생,9
2019,성동,강도,검거,10
2019,성동,강간,발생,133
2019,성동,강간,검거,96
2019,성동,절도,발생,970
2019,성동,절도,검거,511
2019,성동,폭력,발생,1392
2019,성동,폭력,검거,1214
2019,동작,살인,발생,4
2019,동작,살인,검거,2
2019,동작,강도,발생,1
2019,동작,강도,검거,1
2019,동작,강간,발생,251
2019,동작,강간,검거,110
2019,동작,절도,발생,1328
2019,동작,절도,검거,579
2019,동작,폭력,발생,1816
2019,동작,폭력,검거,1503
2019,광진,살인,발생,4
2019,광진,살인,검거,5
2019,광진,강도,발생,6
2019,광진,강도,검거,5
2019,광진,강간,발생,273
2019,광진,강간,검거,213
2019,광진,절도,발생,1875
2019,광진,절도,검거,1008
2019,광진,폭력,발생,1852
2019,광진,폭력,검거,1584
2019,서부,살인,발생,1
2019,서부,살인,검거,1
2019,서부,강도,발생,0
2019,서부,강도,검거,0
2019,서부,강간,발생,62
2019,서부,강간,검거,56
2019,서부,절도,발생,624
2019,서부,절도,검거,422
2019,서부,폭력,발생,843
2019,서부,폭력,검거,747
2019,강북,살인,발생,6
2019,강북,살인,검거,6
2019,강북,강도,발생,3
2019,강북,강도,검거,2
2019,강북,강간,발생,176
2019,강북,강간,검거,145
2019,강북,절도,발생,1229
2019,강북,절도,검거,664
2019,강북,폭력,발생,2422
2019,강북,폭력,검거,2204
2019,금천,살인,발생,6
2019,금천,살인,검거,6
2019,금천,강도,발생,10
2019,금천,강도,검거,6
2019,금천,강간,발생,153
2019,금천,강간,검거,126
2019,금천,절도,발생,1157
2019,금천,절도,검거,615
2019,금천,폭력,발생,1776
2019,금천,폭력,검거,1588
2019,중랑,살인,발생,10
2019,중랑,살인,검거,10
2019,중랑,강도,발생,4
2019,중랑,강도,검거,5
2019,중랑,강간,발생,138
2019,중랑,강간,검거,108
2019,중랑,절도,발생,1666
2019,중랑,절도,검거,908
2019,중랑,폭력,발생,2447
2019,중랑,폭력,검거,2104
2019,강남,살인,발생,3
2019,강남,살인,검거,2
2019,강남,강도,발생,3
2019,강남,강도,검거,3
2019,강남,강간,발생,496
2019,강남,강간,검거,411
2019,강남,절도,발생,2003
2019,강남,절도,검거,878
2019,강남,폭력,발생,2182
2019,강남,폭력,검거,1877
2019,관악,살인,발생,13
2019,관악,살인,검거,10
2019,관악,강도,발생,10
2019,관악,강도,검거,11
2019,관악,강간,발생,408
2019,관악,강간,검거,335
2019,관악,절도,발생,2223
2019,관악,절도,검거,1085
2019,관악,폭력,발생,2667
2019,관악,폭력,검거,2363
2019,강서,살인,발생,8
2019,강서,살인,검거,9
2019,강서,강도,발생,3
2019,강서,강도,검거,4
2019,강서,강간,발생,306
2019,강서,강간,검거,257
2019,강서,절도,발생,2050
2019,강서,절도,검거,1077
2019,강서,폭력,발생,2555
2019,강서,폭력,검거,2192
2019,강동,살인,발생,6
2019,강동,살인,검거,5
2019,강동,강도,발생,15
2019,강동,강도,검거,14
2019,강동,강간,발생,180
2019,강동,강간,검거,155
2019,강동,절도,발생,1650
2019,강동,절도,검거,907
2019,강동,폭력,발생,2161
2019,강동,폭력,검거,1873
2019,종암,살인,발생,1
2019,종암,살인,검거,1
2019,종암,강도,발생,3
2019,종암,강도,검거,3
2019,종암,강간,발생,59
2019,종암,강간,검거,55
2019,종암,절도,발생,640
2019,종암,절도,검거,472
2019,종암,폭력,발생,873
2019,종암,폭력,검거,779
2019,구로,살인,발생,10
2019,구로,살인,검거,9
2019,구로,강도,발생,3
2019,구로,강도,검거,4
2019,구로,강간,발생,226
2019,구로,강간,검거,165
2019,구로,절도,발생,1916
2019,구로,절도,검거,965
2019,구로,폭력,발생,2549
2019,구로,폭력,검거,2145
2019,서초,살인,발생,4
2019,서초,살인,검거,4
2019,서초,강도,발생,7
2019,서초,강도,검거,5
2019,서초,강간,발생,563
2019,서초,강간,검거,376
2019,서초,절도,발생,1867
2019,서초,절도,검거,904
2019,서초,폭력,발생,2141
2019,서초,폭력,검거,1763
2019,양천,살인,발생,6
2019,양천,살인,검거,6
2019,양천,강도,발생,2
2019,양천,강도,검거,2
2019,양천,강간,발생,127
2019,양천,강간,검거,112
2019,양천,절도,발생,1477
2019,양천,절도,검거,634
2019,양천,폭력,발생,1602
2019,양천,폭력,검거,1369
2019,송파,살인,발생,7
2019,송파,살인,검거,8
2019,송파,강도,발생,10
2019,송파,강도,검거,10
2019,송파,강간,발생,273
2019,송파,강간,검거,230
2019,송파,절도,발생,2416
2019,송파,절도,검거,1016
2019,송파,폭력,발생,2989
2019,송파,폭력,검거,2535
2019,노원,살인,발생,4
2019,노원,살인,검거,4
2019,노원,강도,발생,3
2019,노원,강도,검거,3
2019,노원,강간,발생,184
2019,노원,강간,검거,158
2019,노원,절도,발생,1498
2019,노원,절도,검거,681
2019,노원,폭력,발생,2461
2019,노원,폭력,검거,2116
2019,방배,살인,발생,1
2019,방배,살인,검거,1
2019,방배,강도,발생,0
2019,방배,강도,검거,0
2019,방배,강간,발생,53
2019,방배,강간,검거,36
2019,방배,절도,발생,403
2019,방배,절도,검거,214
2019,방배,폭력,발생,495
2019,방배,폭력,검거,441
2019,은평,살인,발생,2
2019,은평,살인,검거,2
2019,은평,강도,발생,1
2019,은평,강도,검거,1
2019,은평,강간,발생,132
2019,은평,강간,검거,106
2019,은평,절도,발생,941
2019,은평,절도,검거,555
2019,은평,폭력,발생,1271
2019,은평,폭력,검거,1109
2019,도봉,살인,발생,1
2019,도봉,살인,검거,1
