Hedge 5: X: -1.473000, Y: 0.793000, Z: -1.149000, Angle: 0 at time T: 6865306
Hedge 5: X: -1.469000, Y: 0.794000, Z: -1.150000, Angle: 0 at time T: 6865483
Hedge 5: X: -1.478000, Y: 0.798000, Z: -1.141000, Angle: 0 at time T: 6865657
Hedge 5: X: -1.474000, Y: 0.800000, Z: -1.142000, Angle: 0 at time T: 6865840
Hedge 5: X: -1.473000, Y: 0.799000, Z: -1.143000, Angle: 0 at time T: 6866018
Hedge 5: X: -1.473000, Y: 0.798000, Z: -1.146000, Angle: 0 at time T: 6866194
Hedge 5: X: -1.473000, Y: 0.797000, Z: -1.149000, Angle: 0 at time T: 6866367
Hedge 5: X: -1.474000, Y: 0.794000, Z: -1.147000, Angle: 0 at time T: 6866542
Hedge 5: X: -1.477000, Y: 0.796000, Z: -1.142000, Angle: 0 at time T: 6866718
Hedge 5: X: -1.476000, Y: 0.797000, Z: -1.146000, Angle: 0 at time T: 6866898
Hedge 5: X: -1.477000, Y: 0.795000, Z: -1.149000, Angle: 0 at time T: 6867071
Hedge 5: X: -1.476000, Y: 0.800000, Z: -1.143000, Angle: 0 at time T: 6867247
Hedge 5: X: -1.474000, Y: 0.798000, Z: -1.143000, Angle: 0 at time T: 6867425
Hedge 5: X: -1.473000, Y: 0.797000, Z: -1.144000, Angle: 0 at time T: 6867601
Hedge 5: X: -1.469000, Y: 0.796000, Z: -1.146000, Angle: 0 at time T: 6867777
Hedge 5: X: -1.471000, Y: 0.795000, Z: -1.144000, Angle: 0 at time T: 6867946
Hedge 5: X: -1.472000, Y: 0.797000, Z: -1.144000, Angle: 0 at time T: 6868109
Hedge 5: X: -1.471000, Y: 0.801000, Z: -1.144000, Angle: 0 at time T: 6868272
Hedge 5: X: -1.479000, Y: 0.800000, Z: -1.142000, Angle: 0 at time T: 6868437
Hedge 5: X: -1.479000, Y: 0.798000, Z: -1.140000, Angle: 0 at time T: 6868612
Hedge 5: X: -1.471000, Y: 0.806000, Z: -1.140000, Angle: 0 at time T: 6868787
Hedge 5: X: -1.473000, Y: 0.809000, Z: -1.136000, Angle: 0 at time T: 6868967
Hedge 5: X: -1.473000, Y: 0.810000, Z: -1.137000, Angle: 0 at time T: 6869145
Hedge 5: X: -1.475000, Y: 0.812000, Z: -1.132000, Angle: 0 at time T: 6869323
Hedge 5: X: -1.472000, Y: 0.812000, Z: -1.135000, Angle: 0 at time T: 6869499
Hedge 5: X: -1.470000, Y: 0.813000, Z: -1.136000, Angle: 0 at time T: 6869672
Hedge 5: X: -1.475000, Y: 0.812000, Z: -1.136000, Angle: 0 at time T: 6869847
Hedge 5: X: -1.475000, Y: 0.810000, Z: -1.137000, Angle: 0 at time T: 6870033
Hedge 5: X: -1.474000, Y: 0.809000, Z: -1.137000, Angle: 0 at time T: 6870208
Hedge 5: X: -1.469000, Y: 0.810000, Z: -1.138000, Angle: 0 at time T: 6870381
Hedge 5: X: -1.479000, Y: 0.811000, Z: -1.133000, Angle: 0 at time T: 6870557
Hedge 5: X: -1.474000, Y: 0.808000, Z: -1.137000, Angle: 0 at time T: 6870735
Hedge 5: X: -1.471000, Y: 0.810000, Z: -1.138000, Angle: 0 at time T: 6870911
Hedge 5: X: -1.474000, Y: 0.812000, Z: -1.138000, Angle: 0 at time T: 6871093
Hedge 5: X: -1.472000, Y: 0.810000, Z: -1.136000, Angle: 0 at time T: 6871256
Hedge 5: X: -1.474000, Y: 0.806000, Z: -1.143000, Angle: 0 at time T: 6871419
Hedge 5: X: -1.473000, Y: 0.808000, Z: -1.140000, Angle: 0 at time T: 6871582
Hedge 5: X: -1.477000, Y: 0.809000, Z: -1.137000, Angle: 0 at time T: 6871747
Hedge 5: X: -1.473000, Y: 0.812000, Z: -1.135000, Angle: 0 at time T: 6871921
Hedge 5: X: -1.471000, Y: 0.812000, Z: -1.134000, Angle: 0 at time T: 6872103
Hedge 5: X: -1.471000, Y: 0.806000, Z: -1.140000, Angle: 0 at time T: 6872277
Hedge 5: X: -1.473000, Y: 0.805000, Z: -1.136000, Angle: 0 at time T: 6872455
Hedge 5: X: -1.471000, Y: 0.809000, Z: -1.137000, Angle: 0 at time T: 6872633
Hedge 5: X: -1.474000, Y: 0.808000, Z: -1.136000, Angle: 0 at time T: 6872809
Hedge 5: X: -1.476000, Y: 0.807000, Z: -1.138000, Angle: 0 at time T: 6872982
Hedge 5: X: -1.474000, Y: 0.807000, Z: -1.138000, Angle: 0 at time T: 6873162
Hedge 5: X: -1.472000, Y: 0.809000, Z: -1.136000, Angle: 0 at time T: 6873339
Hedge 5: X: -1.477000, Y: 0.809000, Z: -1.134000, Angle: 0 at time T: 6873515
Hedge 5: X: -1.474000, Y: 0.805000, Z: -1.141000, Angle: 0 at time T: 6873687
Hedge 5: X: -1.471000, Y: 0.810000, Z: -1.139000, Angle: 0 at time T: 6873863
Hedge 5: X: -1.480000, Y: 0.807000, Z: -1.136000, Angle: 0 at time T: 6874041
Hedge 5: X: -1.475000, Y: 0.804000, Z: -1.142000, Angle: 0 at time T: 6874222
Hedge 5: X: -1.479000, Y: 0.805000, Z: -1.139000, Angle: 0 at time T: 6874398
Hedge 5: X: -1.477000, Y: 0.809000, Z: -1.137000, Angle: 0 at time T: 6874562
Hedge 5: X: -1.473000, Y: 0.810000, Z: -1.136000, Angle: 0 at time T: 6874726
Hedge 5: X: -1.482000, Y: 0.807000, Z: -1.140000, Angle: 0 at time T: 6874890
Hedge 5: X: -1.479000, Y: 0.808000, Z: -1.139000, Angle: 0 at time T: 6875056
Hedge 5: X: -1.477000, Y: 0.806000, Z: -1.140000, Angle: 0 at time T: 6875241
Hedge 5: X: -1.475000, Y: 0.808000, Z: -1.140000, Angle: 0 at time T: 6875417
Hedge 5: X: -1.474000, Y: 0.810000, Z: -1.139000, Angle: 0 at time T: 6875592
Hedge 5: X: -1.475000, Y: 0.810000, Z: -1.140000, Angle: 0 at time T: 6875770
Hedge 5: X: -1.473000, Y: 0.811000, Z: -1.136000, Angle: 0 at time T: 6875948
Hedge 5: X: -1.474000, Y: 0.808000, Z: -1.141000, Angle: 0 at time T: 6876124
Hedge 5: X: -1.474000, Y: 0.812000, Z: -1.138000, Angle: 0 at time T: 6876302
Hedge 5: X: -1.474000, Y: 0.808000, Z: -1.141000, Angle: 0 at time T: 6876477
Hedge 5: X: -1.472000, Y: 0.810000, Z: -1.141000, Angle: 0 at time T: 6876654
Hedge 5: X: -1.475000, Y: 0.810000, Z: -1.140000, Angle: 0 at time T: 6876830
Hedge 5: X: -1.471000, Y: 0.809000, Z: -1.142000, Angle: 0 at time T: 6877002
Hedge 5: X: -1.479000, Y: 0.808000, Z: -1.138000, Angle: 0 at time T: 6877178
