Hedge 5: X: -1.260000, Y: 0.930000, Z: -1.140000, Angle: 0 at time T: 8987571
Hedge 5: X: -1.259000, Y: 0.931000, Z: -1.137000, Angle: 0 at time T: 8987749
Hedge 5: X: -1.260000, Y: 0.932000, Z: -1.139000, Angle: 0 at time T: 8987925
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8988098
Hedge 5: X: -1.260000, Y: 0.929000, Z: -1.137000, Angle: 0 at time T: 8988278
Hedge 5: X: -1.259000, Y: 0.931000, Z: -1.138000, Angle: 0 at time T: 8988455
Hedge 5: X: -1.260000, Y: 0.931000, Z: -1.136000, Angle: 0 at time T: 8988631
Hedge 5: X: -1.265000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8988803
Hedge 5: X: -1.264000, Y: 0.930000, Z: -1.139000, Angle: 0 at time T: 8988977
Hedge 5: X: -1.262000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8989152
Hedge 5: X: -1.260000, Y: 0.931000, Z: -1.139000, Angle: 0 at time T: 8989330
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8989503
Hedge 5: X: -1.259000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8989667
Hedge 5: X: -1.263000, Y: 0.932000, Z: -1.139000, Angle: 0 at time T: 8989831
Hedge 5: X: -1.265000, Y: 0.931000, Z: -1.138000, Angle: 0 at time T: 8989995
Hedge 5: X: -1.265000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8990160
Hedge 5: X: -1.263000, Y: 0.931000, Z: -1.137000, Angle: 0 at time T: 8990344
Hedge 5: X: -1.261000, Y: 0.932000, Z: -1.137000, Angle: 0 at time T: 8990520
Hedge 5: X: -1.261000, Y: 0.933000, Z: -1.138000, Angle: 0 at time T: 8990695
Hedge 5: X: -1.262000, Y: 0.931000, Z: -1.140000, Angle: 0 at time T: 8990873
Hedge 5: X: -1.260000, Y: 0.931000, Z: -1.137000, Angle: 0 at time T: 8991051
Hedge 5: X: -1.267000, Y: 0.930000, Z: -1.140000, Angle: 0 at time T: 8991227
Hedge 5: X: -1.264000, Y: 0.932000, Z: -1.142000, Angle: 0 at time T: 8991404
Hedge 5: X: -1.262000, Y: 0.929000, Z: -1.137000, Angle: 0 at time T: 8991579
Hedge 5: X: -1.259000, Y: 0.930000, Z: -1.141000, Angle: 0 at time T: 8991756
Hedge 5: X: -1.265000, Y: 0.929000, Z: -1.138000, Angle: 0 at time T: 8991931
Hedge 5: X: -1.262000, Y: 0.933000, Z: -1.140000, Angle: 0 at time T: 8992104
Hedge 5: X: -1.261000, Y: 0.933000, Z: -1.135000, Angle: 0 at time T: 8992277
Hedge 5: X: -1.261000, Y: 0.934000, Z: -1.136000, Angle: 0 at time T: 8992456
Hedge 5: X: -1.258000, Y: 0.936000, Z: -1.134000, Angle: 0 at time T: 8992630
Hedge 5: X: -1.258000, Y: 0.938000, Z: -1.134000, Angle: 0 at time T: 8992803
Hedge 5: X: -1.256000, Y: 0.936000, Z: -1.133000, Angle: 0 at time T: 8992966
Hedge 5: X: -1.266000, Y: 0.934000, Z: -1.138000, Angle: 0 at time T: 8993129
Hedge 5: X: -1.266000, Y: 0.932000, Z: -1.138000, Angle: 0 at time T: 8993292
Hedge 5: X: -1.265000, Y: 0.931000, Z: -1.137000, Angle: 0 at time T: 8993461
Hedge 5: X: -1.265000, Y: 0.929000, Z: -1.141000, Angle: 0 at time T: 8993635
Hedge 5: X: -1.265000, Y: 0.929000, Z: -1.141000, Angle: 0 at time T: 8993811
Hedge 5: X: -1.261000, Y: 0.931000, Z: -1.139000, Angle: 0 at time T: 8993986
Hedge 5: X: -1.261000, Y: 0.932000, Z: -1.137000, Angle: 0 at time T: 8994164
Hedge 5: X: -1.259000, Y: 0.932000, Z: -1.137000, Angle: 0 at time T: 8994341
