발생일시,관할해경서,발생해역,발생유형,발생원인,기상특보,사고선박수,구조인원,부상인원,사망인원,실종인원,위도,경도,선종1,톤수1,선종2,톤수2,선종3,톤수3
2010-06-14 18:30,여수,영해,침수,관리소홀,양호,1,3,0,0,0,34|26|00,127|12|80,예부선,38,,,,
2010-06-14 16:37,통영,영해,침수,정비불량,양호,1,1,0,0,0,34|50|90,128|20|30,어선,2.07,,,,
2010-06-14 06:50,태안,영해,충돌,운항부주의,양호,2,21,0,0,0,36|59|00,125|34|00,화물선,3435,어선,23,,
2010-06-14 06:20,동해,영해,기관고장,정비불량,양호,1,7,0,0,0,37|16|70,130|16|70,어선,9.77,,,,
2010-06-14 05:35,군산,항계내,전복,관리소홀,양호,2,0,0,0,0,36|00|25,126|41|41,어선,11,어선,1.43,,
2010-06-13 17:00,태안,영해,기관고장,정비불량,양호,1,8,0,0,0,36|36|00,125|38|00,낚시어선,3.71,,,,
2010-06-13 14:50,부산,항계내,기타,운항부주의,양호,2,26,0,0,0,35|03|80,129|02|10,기타,994,기타,3535,,
2010-06-13 12:30,포항,영해,기관고장,정비불량,양호,1,11,0,0,0,36|31|61,129|26|94,낚시어선,4.51,,,,
2010-06-13 06:07,군산,영해,충돌,운항부주의,양호,2,5,0,0,0,35|45|00,126|24|00,어선,1.45,어선,1.33,,
2010-06-12 13:30,통영,항계내,좌초,운항부주의,양호,1,15,0,0,0,35|11|86,128|35|05,기타,4803,,,,
2010-06-12 06:40,제주,영해,타기고장,정비불량,양호,1,19,0,0,0,33|30|80,126|29|09,어선,9.77,,,,
2010-06-11 19:50,여수,협수로,기관고장,기타,양호,1,1,0,0,0,34|30|12,127|12|70,어선,3.65,,,,
2010-06-11 16:30,여수,영해,기관고장,정비불량,양호,1,1,0,0,0,34|27|57,127|04|14,기타,1,,,,
2010-06-11 10:57,군산,항계내,화재,화기취급부주의,양호,1,3,0,0,0,35|51|25,126|42|15,어선,4.96,,,,
2010-06-11 08:30,여수,영해,기관고장,정비불량,양호,1,14,0,0,0,34|03|85,127|16|80,낚시어선,9.77,,,,
2010-06-11 05:30,서귀포,영해,기관고장,정비불량,양호,1,5,0,0,0,33|06|00,126|36|30,어선,4.99,,,,
2010-06-11 02:30,포항,항계내,충돌,운항부주의,양호,2,2,0,0,0,36|02|72,129|22|31,어선,6.67,어선,2.65,,
2010-06-10 15:00,태안,영해,좌초,운항부주의,양호,1,3,0,0,0,36|14|00,126|32|00,화물선,211,,,,
2010-06-10 08:00,부산,항계내,침수,정비불량,양호,1,2,0,0,0,35|09|80,129|11|90,어선,1.24,,,,
2010-06-10 01:00,울산,영해,추진기장애,운항부주의,양호,1,2,0,0,0,35|14|90,129|19|10,예부선,20,,,,
2010-06-08 23:20,울산,영해-EEZ,충돌,운항부주의,양호,2,25,0,0,0,35|26|42,129|48|26,어선,24,화물선,5548,,
2010-06-08 16:00,통영,영해,화재,화기취급부주의,양호,1,0,0,0,0,35|04|27,128|42|38,예부선,10,,,,
2010-06-07 09:50,동해,영해,기관고장,기타,양호,1,8,0,0,0,37|15|00,131|49|00,어선,69,,,,
2010-06-07 01:05,울산,영해,기관고장,정비불량,양호,1,2,0,0,0,35|14|58,129|18|39,요트,5,,,,
2010-06-06 21:00,속초,영해-EEZ,기관고장,기타,양호,1,7,0,0,0,38|10|00,130|20|00,어선,24,,,,
2010-06-06 17:36,부산,항계내,좌주,기타,양호,1,3,0,0,0,35|04|30,128|55|00,기타,3,,,,
2010-06-06 13:40,울산,영해,기관고장,정비불량,양호,1,2,0,0,0,35|18|15,129|16|50,모터보트,0.5,,,,
2010-06-06 11:30,통영,영해,기관고장,정비불량,양호,1,2,0,0,0,35|04|41,128|39|35,어선,1.85,,,,
2010-06-06 11:18,완도,협수로,기관고장,정비불량,양호,1,2,0,0,0,34|04|00,126|57|00,어선,5,,,,
2010-06-06 09:15,동해,영해,기관고장,기타,양호,1,1,0,0,0,37|12|28,129|19|00,어선,3.18,,,,
2010-06-05 22:00,완도,항계내,기관고장,정비불량,양호,1,8,0,0,0,34|05|00,127|06|00,어선,39,,,,
2010-06-05 15:50,울산,항계내,기관고장,정비불량,양호,1,2,0,0,0,35|31|23,129|27|03,모터보트,1,,,,
2010-06-05 15:17,통영,영해,기관고장,정비불량,양호,1,100,0,0,0,34|51|17,128|44|06,유도선,29,,,,
2010-06-05 14:15,군산,영해,표류,정비불량,양호,1,2,0,0,0,35|50|00,126|27|21,모터보트,0.3,,,,
2010-06-05 13:10,포항,영해,기관고장,정비불량,양호,1,12,0,0,0,35|42|51,129|29|98,낚시어선,4.99,,,,
2010-06-04 15:21,태안,영해,좌초,운항부주의,양호,1,1,0,0,0,36|46|00,126|06|00,예부선,137,,,,
2010-06-04 11:00,속초,영해,화재,정비불량,양호,1,1,0,0,0,38|26|53,128|27|45,어선,15,,,,
2010-06-04 10:16,제주,영해,충돌,운항부주의,양호,2,8,0,0,0,33|29|00,126|18|00,어선,4.46,어선,9.77,,
2010-06-04 07:00,통영,항계내,침수,관리소홀,양호,1,0,0,0,0,34|42|65,127|59|08,어선,1.45,,,,
2010-06-04 00:15,제주,영해,좌초,운항부주의,양호,1,6,1,0,0,33|28|00,126|18|80,어선,9.77,,,,
