발생일시,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2019-12-13 18:51,제주,영해,33 | 40 | 0,126 | 19 | 0,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,3
2019-12-13 16:13,서귀포,영해-EEZ,32 | 43 | 58,126 | 16 | 48,양호,운항부주의,부유물감김,1,12,12,0,0,0,어선,33
2019-12-13 20:15,제주,영해,33 | 39 | 0,126 | 43 | 60,양호,운항부주의,부유물감김,1,7,7,0,0,0,어선,22
2019-12-13 16:08,완도,항계 내,34 | 9 | 44,126 | 48 | 21,양호,정비불량,기관손상,1,2,2,0,0,0,모터보트,1.05
2019-12-13 14:51,부산,항계 내,35 | 3 | 31,129 | 1 | 33,양호,연료고갈,운항저해,1,1,1,0,0,0,어선,3
2019-12-13 14:26,통영,영해,34 | 39 | 15,128 | 33 | 47,양호,운항부주의,부유물감김,1,8,8,0,0,0,낚시어선,9.77
2019-12-13 10:50,인천,영해,37 | 19 | 51,126 | 17 | 15,양호,운항부주의,좌초/좌주,1,6,6,0,0,0,예부선,160
2019-12-13 12:46,부산,항계 내,35 | 3 | 47,129 | 0 | 36,양호,안전부주의,해양오염,1,0,0,0,0,0,어선,6971
2019-12-13 06:25,포항,영해,36 | 7 | 60,129 | 31 | 0,양호,운항부주의,충돌,1,1,1,0,0,0,어선,3.28
2019-12-13 06:25,포항,영해,36 | 7 | 60,129 | 31 | 0,양호,운항부주의,충돌,1,15,15,0,0,0,화물선,2988
2019-12-12 16:37,제주,항계 내,33 | 31 | 0,126 | 31 | 60,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,3.7
2019-12-13 09:51,여수,항계 내,34 | 44 | 12,127 | 44 | 49,양호,관리소홀,침수,1,0,0,0,0,0,어선,1.07
2019-12-12 15:47,목포,영해,35 | 7 | 18,126 | 10 | 13,양호,정비불량,기관손상,1,1,1,0,0,0,어선,2.99
2019-12-12 14:52,제주,영해,33 | 33 | 0,126 | 52 | 0,양호,정비불량,화재,1,7,7,0,0,0,어선,9.77
2019-12-12 12:08,목포,항계 내,35 | 22 | 58,126 | 24 | 23,양호,관리소홀,침수,1,0,0,0,0,0,어선,17
2019-12-12 11:21,통영,영해-EEZ,33 | 57 | 25,128 | 9 | 11,양호,정비불량,기관손상,1,7,7,0,0,0,어선,22
2019-12-12 10:42,울산,영해,35 | 28 | 25,129 | 26 | 19,황천6급,운항부주의,충돌,1,4,4,0,0,0,예부선,124
2019-12-12 10:42,울산,영해,35 | 28 | 25,129 | 26 | 19,황천6급,운항부주의,충돌,1,1,1,0,0,0,어선,1.05
2019-12-12 08:11,부산,항계 내,35 | 5 | 42,129 | 2 | 3,양호,관리소홀,운항저해,1,0,0,0,0,0,예부선,413
2019-12-12 05:40,서귀포,영해-EEZ,32 | 55 | 0,126 | 9 | 0,풍랑주의보,운항부주의,부유물감김,1,10,10,0,0,0,어선,29
2019-12-11 13:49,부산,항계 내,35 | 3 | 10,128 | 58 | 38,양호,화기취급부주의,화재,1,0,0,0,0,0,기타,53
