from,to,cost
1170010200,1170008700,10
1170010200,1170008800,419.3426708
1170010200,1170006700,419.3426708
1170010200,3201510000,419.3426708
1170010200,3201509900,419.3426708
1170010800,1170010800,0
1170010800,1170010700,322.2881338
1170010800,1170010100,10
1170010800,1170010200,418.858491
1170010800,1170008700,418.858491
1170010700,1170010700,0
1170010700,1170010800,322.2881338
1170010700,1170010100,322.2881338
1170010100,1170010800,10
1170010100,1170010700,322.2881338
1170010100,1170010100,0
1170010100,1170010200,418.858491
1170010100,1170008700,418.858491
1170008700,1170010200,10
1170008700,1170010800,418.858491
1170008700,1170010100,418.858491
1170008700,1170008700,0
1170008700,1170008800,419.3426708
1170008700,1170006700,419.3426708
1170008700,3201510000,419.3426708
1170008700,3201509900,419.3426708
1170006700,1170008800,10
1170006700,1170010200,419.3426708
1170006700,1170008700,419.3426708
1170006700,1170006700,0
1170006700,1170006800,421.3586772
1170006700,1170005300,421.3586772
1170006700,3201510000,10
1170006700,3201510100,69.12455019
1170006700,3201509900,10
1170006700,3201509800,665.0104455
1170006700,3201509700,665.0104455
1170006700,1170007700,665.0104455
1170006700,1170010000,665.0104455
1170005300,1170006800,10
1170005300,1170008800,421.3586772
1170005300,1170006700,421.3586772
1170005300,3201510000,421.3586772
1170005300,3201509900,421.3586772
1170005300,1170005300,0
1170005300,1170005400,419.0014119
1170006000,1170006000,0
1170006000,1170007200,429.5302456
1170006000,1170005900,429.5302456
1170006000,1170007400,429.5302456
1170006000,1170005500,429.5302456
1170006000,1170004700,10
1170006000,1170002700,497.9026604
1170006000,1170004800,497.9026604
1170006000,1170003600,497.9026604
1170006000,1170006600,10
1170006000,1170006500,603.639937
1170006000,1170009000,603.639937
1170006000,1170008400,603.639937
1170007200,1170007200,0
1170007200,1170007100,1144.821806
1170007200,3201509600,1144.821806
1170007200,1160004000,1144.821806
1170007200,1170005900,10
1170007200,1170006000,429.5302456
1170007200,1170004700,429.5302456
1170007200,1170006600,429.5302456
1170007200,1170007400,10
1170007200,1200002800,827.6970344
1170007200,1160003800,827.6970344
1170007200,1160004400,827.6970344
1170007200,1170007300,827.6970344
1170007200,1170005500,10
1170007200,1170005200,206.8457878
1170007200,1170005600,206.8457878
1170007200,1170004300,206.8457878
1170007100,1170007100,0
1170007100,1170007200,1144.821806
1170007100,1170005900,1144.821806
1170007100,1170007400,1144.821806
1170007100,1170005500,1144.821806
1170007100,3201509600,10
1170007100,3201509800,221.5976153
1170007100,3201509700,221.5976153
1170007100,1170007700,221.5976153
1170007100,1170010000,221.5976153
1170007100,1160004000,10
1170007100,1160003900,335.1018197
1170007100,1160004800,335.1018197
1170005900,1170007200,10
1170005900,1170007100,1144.821806
1170005900,3201509600,1144.821806
1170005900,1160004000,1144.821806
1170005900,1170005900,0
1170005900,1170006000,429.5302456
1170005900,1170004700,429.5302456
1170005900,1170006600,429.5302456
1170005900,1170007400,10
1170005900,1200002800,827.6970344
1170005900,1160003800,827.6970344
1170005900,1160004400,827.6970344
1170005900,1170007300,827.6970344
1170005900,1170005500,10
1170005900,1170005200,206.8457878
1170005900,1170005600,206.8457878
1170005900,1170004300,206.8457878
1130029700,1130029700,0
1130029700,1130029100,344.0953584
1130029700,1130029800,344.0953584
1130029700,1130029300,344.0953584
1130029700,1130028100,344.0953584
1130029700,1130029400,344.0953584
1130029700,1110005000,10
1130029700,1110006200,361.3740527
1130029700,1110004900,361.3740527
1130029700,1110003900,10
1130029700,1110004000,907.028056
1130029700,1110003300,907.028056
1130029700,3201505900,907.028056
1130029100,1130029100,0
1130029100,1130027900,273.0588767
1130029100,1130029200,273.0588767
1130029100,3201507200,273.0588767
1130029100,1130028300,273.0588767
1130029100,1130029800,10
1130029100,1130029700,344.0953584
1130029100,1110005000,344.0953584
1130029100,1110003900,344.0953584
1130029100,1130029300,10
1130029100,1130028100,0
1130029100,1130029400,0
1130029100,1130027100,1096.506198
1130029100,1130026700,1096.506198
1130029100,1130028200,1096.506198
1130027900,1130027900,0
1130027900,1130026900,614.0489046
1130027900,1130028000,614.0489046
1130027900,1130027300,614.0489046
1130027900,1130029200,10
1130027900,1130029100,273.0588767
1130027900,1130029800,273.0588767
1130027900,1130029300,273.0588767
1130027900,1130028100,273.0588767
1130027900,1130029400,273.0588767
1130027900,3201507200,10
1130027900,3201506000,358.2380288
1130027900,3201507300,358.2380288
1130027900,1130028300,10
1130027900,1130028400,326.3222156
1130027900,1130027700,326.3222156
1130026900,1130026900,0
1130026900,1130027000,1114.746914
1130026900,1130006900,1114.746914
1130026900,1130007300,1114.746914
1130026900,1130023700,1114.746914
1130026900,1130028000,10
1130026900,1130027900,614.0489046
1130026900,1130029200,614.0489046
1130026900,3201507200,614.0489046
1130026900,1130028300,614.0489046
1130026900,1130027300,10
1130026900,1130025100,530.4751621
1130026900,1130027400,530.4751621
1130027000,1130027000,0
1130027000,1130026900,1114.746914
1130027000,1130028000,1114.746914
1130027000,1130027300,1114.746914
1130027000,1130006900,10
1130027000,1130005800,2500.268456
1130027000,1130005700,2500.268456
1130027000,1130004300,2500.268456
1130027000,1130005300,2500.268456
1130027000,1130007300,10
1130027000,1130007400,241.7604828
1130027000,1130023700,10
1130027000,1150003200,1196.146166
1130027000,1150002300,1196.146166
1130027000,1130023800,1196.146166
1130027000,1150016400,1196.146166
1130028000,1130026900,10
1130028000,1130027000,1114.746914
1130028000,1130006900,1114.746914
1130028000,1130007300,1114.746914
1130028000,1130023700,1114.746914
1130028000,1130028000,0
1130028000,1130027900,614.0489046
1130028000,1130029200,614.0489046
1130028000,3201507200,614.0489046
1130028000,1130028300,614.0489046
1130028000,1130027300,10
1130028000,1130025100,530.4751621
1130028000,1130027400,530.4751621
1130029200,1130027900,10
1130029200,1130026900,614.0489046
1130029200,1130028000,614.0489046
1130029200,1130027300,614.0489046
1130029200,1130029200,0
1130029200,1130029100,273.0588767
1130029200,1130029800,273.0588767
1130029200,1130029300,273.0588767
1130029200,1130028100,273.0588767
1130029200,1130029400,273.0588767
1130029200,3201507200,10
1130029200,3201506000,358.2380288
1130029200,3201507300,358.2380288
1130029200,1130028300,10
1130029200,1130028400,326.3222156
1130029200,1130027700,326.3222156
1130029800,1130029100,10
1130029800,1130027900,273.0588767
1130029800,1130029200,273.0588767
1130029800,3201507200,273.0588767
1130029800,1130028300,273.0588767
1130029800,1130029800,0
1130029800,1130029700,344.0953584
1130029800,1110005000,344.0953584
1130029800,1110003900,344.0953584
1130029800,1130029300,10
1130029800,1130028100,0
1130029800,1130029400,0
1130029800,1130027100,1096.506198
1130029800,1130026700,1096.506198
1130029800,1130028200,1096.506198
1120036100,1120036100,0
1120036100,1120036200,384.8908062
1120036100,1120009200,384.8908062
1120036100,1120008200,384.8908062
1120036100,1120007700,384.8908062
1120036100,3201507400,10
1120036100,1120007000,283.3869596
1120036100,1120005700,283.3869596
1120036100,3201507500,283.3869596
1120036200,1120036200,0
1120036200,1120036100,384.8908062
1120036200,3201507400,384.8908062
1120036200,1120009200,10
1120036200,1120011400,434.4588401
