Entity code,Entity name,Entity abbreviation,Entity theme,Entity coverage,Related entity codes,Status,Number of live instances,Number of archived instances,Number of cross-border instances,Date of last instance change,Current code (first in range),Current code (last in range),Reserved code (for CHD use),Entity owner,Date entity introduced on RGC,Entity start date
K03,Great Britain,GB,Administrative,Great Britain,"E92, W92, S92",Current,1,0,1,n/a,K03000001,K03000001,K03999999,ONS,31/10/2010,31/10/2010
K04,England and Wales,E&W,Administrative,England and Wales,"E92, W92",Current,1,0,1,n/a,K04000001,K04000001,K04999999,ONS,31/10/2010,31/10/2010
K05,Built Up Areas,BUA,Census,England and Wales,"E34, W37",Current,11,0,11,n/a,K05000001,K05000011,K05999999,ONS,27/06/2013,27/03/2011
K06,Built Up Area sub divisions,BUASD,Census,England and Wales,"E35, W38",Current,4,0,4,n/a,K06000001,K06000004,K06999999,ONS,27/06/2013,27/03/2011
L93,British Crown Dependencies,BCD,Administrative,Channel Islands,"E92, W92, S92, N92, M83",Current,1,0,0,n/a,L93000001,L93000001,L93999999,ONS,01/01/2009,01/01/2009
L00,Strategic Health Authorities,SHA,Health,Channel Islands,"E18, M00",Current,3,0,0,n/a,L00000001,L00000003,L00999999,ODS,01/01/2009,01/01/2009
M83,British Crown Dependency,BCD,Administrative,Isle of Man,"E92, W92, S92, N92, L93",Current,1,0,0,n/a,M83000003,M83000003,M83999999,ONS,01/01/2009,01/01/2009
M00,Strategic Health Authorities,SHA,Health,Isle of Man,"E18, L00",Current,1,0,0,n/a,M00000001,M00000001,M00999999,ODS,01/01/2009,01/01/2009
M01,Primary Healthcare Directorate,PHD,Health,Isle of Man,n/a,Current,1,0,0,n/a,M01000001,M01000001,M01999999,ODS,06/05/2010,01/06/2008
J01,Major Towns and Cities,TCITY,Experimental,England and Wales,n/a,Current,112,0,0,n/a,J01000001,J01000112,J01999999,ONS,22/04/2016,17/03/2016
J02,1961 Census Parishes,PAR,Census,England and Wales,"E92, W92",Current,11852,0,0,n/a,J02000001,J02011852,J02999999,ONS,20/11/2018,20/11/2018
J03,1961 Census Wards,WD,Census,England and Wales,"E92, W92",Current,5212,0,0,n/a,J03000001,J03005212,J03999999,ONS,20/11/2018,20/11/2018
J04,1961 Census Districts,LAD,Census,England and Wales,"E92, W92",Current,1467,0,0,n/a,J04000001,J04001467,J04999999,ONS,20/11/2018,20/11/2018
J05,1961 Census Counties,CTY,Census,England and Wales,"E92, W92",Current,62,0,0,n/a,J05000001,J05000062,J05999999,ONS,20/11/2018,20/11/2018
