pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"DG109HB","DG10 9HB","DG10 9HB","198001","","0","308297","0605144","1","S00098191","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","1B3",55.331765,-3.447075,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HD","DG10 9HD","DG10 9HD","198001","","0","308425","0605235","1","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.332609,-3.445084,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HE","DG10 9HE","DG10 9HE","198001","","0","308440","0605263","1","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.332860,-3.444861,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HF","DG10 9HF","DG10 9HF","198001","","0","308447","0605296","1","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.333158,-3.444761,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HG","DG10 9HG","DG10 9HG","198001","","0","308446","0605402","1","S00098125","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","5B3",55.334110,-3.444812,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HH","DG10 9HH","DG10 9HH","198001","","0","308321","0605239","1","S00098191","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","1B3",55.332622,-3.446728,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HJ","DG10 9HJ","DG10 9HJ","198001","","0","308481","0605359","1","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.333733,-3.444242,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HL","DG10 9HL","DG10 9HL","198001","","0","308374","0605395","1","S00098191","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","1B3",55.334034,-3.445944,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HN","DG10 9HN","DG10 9HN","198001","","0","308413","0605479","1","S00098125","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","5B3",55.334796,-3.445357,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109HP","DG10 9HP","DG10 9HP","198001","","0","308427","0605535","1","S00098125","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","5B3",55.335301,-3.445154,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
