frame_num,id,d2x,d2y,rx,ry,heading
47,V5,734,369,80006,40221,S
47,V4,732,424,79788,46216,N
48,V57,762,197,83058,21473,S
48,V40,539,544,58751,59296,N
48,V15,1552,576,169168,62784,N
48,V14,1279,523,139411,57007,N
48,V13,1115,537,121535,58533,N
48,V12,935,564,101915,61476,N
48,V11,1422,505,154998,55045,N
48,V10,1296,431,141264,46979,N
48,V9,730,563,79570,61367,N
48,V8,1198,463,130582,50467,N
48,V4,732,424,79788,46216,N
49,V57,756,196,82404,21364,S
49,V40,539,544,58751,59296,N
49,V16,734,482,80006,52538,N
49,V15,1553,576,169277,62784,N
49,V14,1280,523,139520,57007,N
49,V13,1115,537,121535,58533,N
49,V12,935,563,101915,61367,N
49,V11,1422,505,154998,55045,N
49,V10,1296,430,141264,46870,N
49,V9,734,563,80006,61367,N
49,V8,1197,463,130473,50467,N
49,V4,732,424,79788,46216,N
50,V57,751,197,81859,21473,S
50,V40,538,547,58642,59623,N
50,V16,734,483,80006,52647,N
50,V15,1551,576,169059,62784,N
50,V14,1279,522,139411,56898,N
50,V13,1115,537,121535,58533,N
50,V12,934,563,101806,61367,N
50,V11,1422,505,154998,55045,N
50,V10,1296,430,141264,46870,N
50,V9,730,563,79570,61367,N
50,V8,1196,462,130364,50358,N
50,V5,734,368,80006,40112,S
50,V4,732,424,79788,46216,N
51,V40,539,543,58751,59187,N
51,V16,733,482,79897,52538,N
51,V15,1552,577,169168,62893,N
51,V14,1278,521,139302,56789,N
51,V13,1115,537,121535,58533,N
51,V12,935,561,101915,61149,N
51,V11,1421,505,154889,55045,N
51,V10,1296,430,141264,46870,N
51,V9,729,563,79461,61367,N
51,V8,1197,462,130473,50358,N
51,V6,1054,471,114886,51339,N
51,V5,734,369,80006,40221,S
51,V4,732,423,79788,46107,N
51,V2,832,362,90688,39458,S
52,V40,539,542,58751,59078,N
52,V16,733,482,79897,52538,N
52,V15,1551,577,169059,62893,N
52,V14,1278,521,139302,56789,N
52,V13,1114,536,121426,58424,N
52,V12,934,561,101806,61149,N
52,V11,1421,504,154889,54936,N
52,V10,1296,430,141264,46870,N
52,V9,729,563,79461,61367,N
52,V8,1197,462,130473,50358,N
52,V6,1054,471,114886,51339,N
52,V5,734,368,80006,40112,S
52,V4,731,424,79679,46216,N
52,V2,833,362,90797,39458,S
53,V40,537,542,58533,59078,N
53,V16,733,481,79897,52429,N
53,V15,1550,577,168950,62893,N
53,V14,1278,522,139302,56898,N
53,V13,1113,535,121317,58315,N
53,V12,935,562,101915,61258,N
53,V11,1422,505,154998,55045,N
53,V10,1296,431,141264,46979,N
53,V9,729,564,79461,61476,N
53,V8,1196,463,130364,50467,N
53,V6,1053,472,114777,51448,N
53,V5,733,368,79897,40112,S
53,V4,730,424,79570,46216,N
54,V40,538,542,58642,59078,N
54,V16,733,481,79897,52429,N
54,V15,1550,577,168950,62893,N
54,V14,1279,524,139411,57116,N
54,V13,1114,535,121426,58315,N
54,V12,934,562,101806,61258,N
54,V11,1421,504,154889,54936,N
54,V10,1296,431,141264,46979,N
54,V9,730,563,79570,61367,N
54,V8,1198,463,130582,50467,N
54,V6,1054,472,114886,51448,N
54,V5,734,368,80006,40112,S
54,V4,731,423,79679,46107,N
55,V40,538,540,58642,58860,N
55,V16,732,481,79788,52429,N
55,V15,1550,577,168950,62893,N
55,V14,1278,524,139302,57116,N
55,V13,1113,535,121317,58315,N
55,V12,934,562,101806,61258,N
55,V11,1421,504,154889,54936,N
55,V10,1295,430,141155,46870,N
55,V9,728,564,79352,61476,N
55,V8,1197,463,130473,50467,N
55,V6,1055,471,114995,51339,N
