Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
148000,0.55742615,None,2.2755265,None,None,1.0
149000,0.5683493,None,2.271831,None,None,1.0
150000,0.5620496,None,2.2247233,None,None,1.0
151000,0.5696227,None,2.2179146,None,None,1.0
152000,0.5785971,None,2.252269,None,None,1.0
153000,0.56780684,None,2.2686067,None,None,1.0
154000,0.5697864,None,2.265555,None,None,1.0
155000,0.5608667,None,2.2876496,None,None,1.0
156000,0.57008034,None,2.3361406,None,None,1.0
157000,0.5447482,None,2.3417208,None,None,1.0
158000,0.56212157,None,2.2847185,None,None,1.0
159000,0.5708349,None,2.2314062,None,None,1.0
160000,0.5665335,None,2.2399788,None,None,1.0
161000,0.5619586,None,2.2530756,None,None,1.0
162000,0.56470335,None,2.2508144,None,None,1.0
163000,0.55405074,None,2.270405,None,None,1.0
164000,0.5594679,None,2.253922,None,None,1.0
165000,0.55936867,None,2.2821589,None,None,1.0
166000,0.54668725,None,2.363411,None,None,1.0
167000,0.553468,None,2.3186269,None,None,1.0
168000,0.55698454,None,2.2767625,None,None,1.0
169000,0.5523483,None,2.344172,None,None,1.0
170000,0.5521849,None,2.3577044,None,None,1.0
171000,0.54248226,None,2.3439903,None,None,1.0
172000,0.54744816,None,2.331286,None,None,1.0
173000,0.54430693,None,2.3514314,None,None,1.0
174000,0.549887,None,2.2972658,None,None,1.0
175000,0.5479847,None,2.2610233,None,None,1.0
176000,0.54298043,None,2.291964,None,None,1.0
177000,0.54250866,None,2.2833347,None,None,1.0
178000,0.556335,None,2.3019013,None,None,1.0
179000,0.54669076,None,2.33382,None,None,1.0
180000,0.54453605,None,2.3364224,None,None,1.0
181000,0.5414518,None,2.349346,None,None,1.0
182000,0.54364336,None,2.3146143,None,None,1.0
183000,0.55377537,None,2.2599583,None,None,1.0
184000,0.5434032,None,2.3233893,None,None,1.0
185000,0.5375907,None,2.3450098,None,None,1.0
186000,0.5470115,None,2.3283207,None,None,1.0
187000,0.54285556,None,2.3530505,None,None,1.0
188000,0.5460281,None,2.3769658,None,None,1.0
189000,0.54438025,None,2.3677855,None,None,1.0
190000,0.5441554,None,2.3770485,None,None,1.0
191000,0.53680986,None,2.3753405,None,None,1.0
192000,0.5406614,None,2.3657432,None,None,1.0
193000,0.54626065,None,2.3231754,None,None,1.0
194000,0.5469784,None,2.3051643,None,None,1.0
195000,0.5426863,None,2.3255913,None,None,1.0
196000,0.5341261,None,2.351296,None,None,1.0
197000,0.52952456,None,2.3882434,None,None,1.0
198000,0.5274812,None,2.3936589,None,None,1.0
199000,0.5305445,None,2.3641899,None,None,1.0
200000,0.53511167,None,2.335179,None,None,1.0
201000,0.5465506,None,2.3266048,None,None,1.0
202000,0.5314448,None,2.3483832,None,None,1.0
203000,0.5166053,None,2.3638332,None,None,1.0
204000,0.53667223,None,2.359129,None,None,1.0
205000,0.55025756,None,2.3290305,None,None,1.0
206000,0.54009676,None,2.338595,None,None,1.0
207000,0.525363,None,2.4134278,None,None,1.0
208000,0.5245293,None,2.4474843,None,None,1.0
209000,0.5195525,None,2.424368,None,None,1.0
210000,0.52597046,None,2.4072275,None,None,1.0
211000,0.5236397,None,2.4284904,None,None,1.0
212000,0.51808625,None,2.4167104,None,None,1.0
213000,0.5231912,None,2.3492606,None,None,1.0
214000,0.5378335,None,2.3353314,None,None,1.0
215000,0.5310074,None,2.353531,None,None,1.0
216000,0.5338762,None,2.395161,None,None,1.0
217000,0.5200769,None,2.4331255,None,None,1.0
218000,0.52306753,None,2.4223342,None,None,1.0
219000,0.5285902,None,2.413465,None,None,1.0
220000,0.51814175,None,2.3944747,None,None,1.0
221000,0.53425384,None,2.3751771,None,None,1.0
222000,0.52463186,None,2.3769174,None,None,1.0
223000,0.51980644,None,2.3976245,None,None,1.0
224000,0.5205259,None,2.4269598,None,None,1.0
225000,0.51513433,None,2.4439173,None,None,1.0
226000,0.52325934,None,2.3877773,None,None,1.0
227000,0.5290675,None,2.3591177,None,None,1.0
