Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
421000,2.4321418,0.6861718,2316.0,57.72499653697014,57.72499653697014,1.0
422000,2.442305,0.6882956,None,None,None,1.0
423000,2.4467506,0.68094134,None,None,None,1.0
424000,2.4512732,0.6816922,None,None,None,1.0
425000,2.4277768,0.6823707,None,None,None,1.0
426000,2.4123864,0.68586516,None,None,None,1.0
427000,2.4240048,0.68320835,7727.0,192.9074885621667,192.9074885621667,1.0
428000,2.407427,0.68410987,None,None,None,1.0
429000,2.406376,0.6894034,None,None,None,1.0
430000,2.4277081,0.673456,None,None,None,1.0
431000,2.4423947,0.6863932,None,None,None,1.0
432000,2.4500246,0.683547,None,None,None,1.0
433000,2.4471817,0.6880126,None,None,None,1.0
434000,2.437572,0.6770928,None,None,None,1.0
435000,2.4348402,0.6872528,2181.0,54.54999674856663,54.54999674856663,1.0
436000,2.4149194,0.6899157,None,None,None,1.0
437000,2.4245632,0.67986244,None,None,None,1.0
438000,2.4430702,0.6857906,None,None,None,1.0
439000,2.4505994,0.68894804,None,None,None,1.0
440000,2.4429154,0.68387115,None,None,None,1.0
441000,2.4281816,0.68222016,1466.0,36.65499770641327,36.65499770641327,1.0
442000,2.4116263,0.68993986,None,None,None,1.0
443000,2.4299424,0.67408377,4127.0,103.02999377250671,103.02999377250671,1.0
444000,2.4377456,0.6860583,347.0,7.889999449253082,7.889999449253082,1.0
445000,2.4390883,0.6892645,None,None,None,1.0
446000,2.4409308,0.6900182,None,None,None,1.0
447000,2.4374435,0.67824996,6532.0,162.33499035984278,162.33499035984278,1.0
448000,2.4389246,0.68723977,None,None,None,1.0
449000,2.4303455,0.6875827,None,None,None,1.0
450000,2.4286299,0.68653256,None,None,None,1.0
451000,2.4360569,0.68483347,1979.0,48.8449969291687,48.8449969291687,1.0
452000,2.4392362,0.68521255,421.0,10.53999924659729,10.53999924659729,1.0
453000,2.4109917,0.6866428,None,None,None,1.0
454000,2.417112,0.68642306,None,None,None,1.0
455000,2.4160979,0.6891979,None,None,None,1.0
456000,2.4044945,0.68455386,None,None,None,1.0
457000,2.4058793,0.68192285,3148.0,76.56499540805817,76.56499540805817,1.0
458000,2.414835,0.6877482,None,None,None,1.0
459000,2.4093337,0.68490577,3095.0,76.99499535560608,76.99499535560608,1.0
460000,2.4084609,0.68019927,1925.0,48.144997134804726,48.144997134804726,1.0
461000,2.3996956,0.6790679,None,None,None,1.0
462000,2.413327,0.6845267,2646.5,65.1674959808588,65.1674959808588,1.0
463000,2.397811,0.6718892,None,None,None,1.0
