범죄대분류,범죄중분류,발생건수,지역
지능범죄,배임,21,경기 군포
풍속범죄,성풍속범죄,46,경기 군포
풍속범죄,도박범죄,33,경기 군포
특별경제범죄,특별경제범죄,383,경기 군포
마약범죄,마약범죄,15,경기 군포
보건범죄,보건범죄,45,경기 군포
환경범죄,환경범죄,0,경기 군포
교통범죄,교통범죄,2121,경기 군포
노동범죄,노동범죄,4,경기 군포
안보범죄,안보범죄,0,경기 군포
선거범죄,선거범죄,0,경기 군포
병역범죄,병역범죄,53,경기 군포
기타범죄,기타범죄,672,경기 군포
강력범죄,살인기수,2,경기 김포
강력범죄,살인미수등,3,경기 김포
강력범죄,강도,7,경기 김포
강력범죄,강간,33,경기 김포
강력범죄,유사강간,5,경기 김포
강력범죄,강제추행,75,경기 김포
강력범죄,기타강간강제추행등,2,경기 김포
강력범죄,방화,13,경기 김포
절도범죄,절도,1082,경기 김포
폭력범죄,상해,160,경기 김포
폭력범죄,폭행,731,경기 김포
폭력범죄,체포감금,4,경기 김포
폭력범죄,협박,49,경기 김포
폭력범죄,약취유인,0,경기 김포
폭력범죄,폭력행위등,171,경기 김포
폭력범죄,공갈,10,경기 김포
폭력범죄,손괴,354,경기 김포
지능범죄,직무유기,1,경기 김포
지능범죄,직권남용,1,경기 김포
지능범죄,증수뢰,1,경기 김포
지능범죄,통화,6,경기 김포
지능범죄,문서인장,77,경기 김포
지능범죄,유가증권인지,3,경기 김포
지능범죄,사기,1075,경기 김포
지능범죄,횡령,412,경기 김포
지능범죄,배임,31,경기 김포
풍속범죄,성풍속범죄,72,경기 김포
풍속범죄,도박범죄,52,경기 김포
특별경제범죄,특별경제범죄,420,경기 김포
마약범죄,마약범죄,13,경기 김포
보건범죄,보건범죄,68,경기 김포
환경범죄,환경범죄,14,경기 김포
교통범죄,교통범죄,3726,경기 김포
노동범죄,노동범죄,4,경기 김포
안보범죄,안보범죄,0,경기 김포
선거범죄,선거범죄,3,경기 김포
병역범죄,병역범죄,50,경기 김포
기타범죄,기타범죄,1205,경기 김포
강력범죄,살인기수,5,경기 남양주
강력범죄,살인미수등,6,경기 남양주
강력범죄,강도,12,경기 남양주
강력범죄,강간,50,경기 남양주
강력범죄,유사강간,2,경기 남양주
강력범죄,강제추행,132,경기 남양주
강력범죄,기타강간강제추행등,9,경기 남양주
강력범죄,방화,26,경기 남양주
절도범죄,절도,1888,경기 남양주
폭력범죄,상해,392,경기 남양주
폭력범죄,폭행,1573,경기 남양주
폭력범죄,체포감금,15,경기 남양주
폭력범죄,협박,101,경기 남양주
폭력범죄,약취유인,6,경기 남양주
폭력범죄,폭력행위등,395,경기 남양주
폭력범죄,공갈,21,경기 남양주
폭력범죄,손괴,609,경기 남양주
지능범죄,직무유기,6,경기 남양주
지능범죄,직권남용,3,경기 남양주
지능범죄,증수뢰,1,경기 남양주
지능범죄,통화,19,경기 남양주
지능범죄,문서인장,134,경기 남양주
지능범죄,유가증권인지,3,경기 남양주
지능범죄,사기,1878,경기 남양주
지능범죄,횡령,530,경기 남양주
지능범죄,배임,50,경기 남양주
풍속범죄,성풍속범죄,77,경기 남양주
풍속범죄,도박범죄,53,경기 남양주
특별경제범죄,특별경제범죄,589,경기 남양주
마약범죄,마약범죄,24,경기 남양주
보건범죄,보건범죄,261,경기 남양주
환경범죄,환경범죄,52,경기 남양주
교통범죄,교통범죄,4795,경기 남양주
노동범죄,노동범죄,6,경기 남양주
안보범죄,안보범죄,0,경기 남양주
선거범죄,선거범죄,0,경기 남양주
병역범죄,병역범죄,312,경기 남양주
기타범죄,기타범죄,2361,경기 남양주
강력범죄,살인기수,0,경기 동두천
강력범죄,살인미수등,3,경기 동두천
강력범죄,강도,0,경기 동두천
강력범죄,강간,6,경기 동두천
강력범죄,유사강간,0,경기 동두천
강력범죄,강제추행,36,경기 동두천
강력범죄,기타강간강제추행등,0,경기 동두천
강력범죄,방화,1,경기 동두천
절도범죄,절도,410,경기 동두천
폭력범죄,상해,102,경기 동두천
폭력범죄,폭행,422,경기 동두천
폭력범죄,체포감금,4,경기 동두천
폭력범죄,협박,18,경기 동두천
폭력범죄,약취유인,0,경기 동두천
폭력범죄,폭력행위등,114,경기 동두천
폭력범죄,공갈,9,경기 동두천
폭력범죄,손괴,168,경기 동두천
지능범죄,직무유기,0,경기 동두천
지능범죄,직권남용,0,경기 동두천
지능범죄,증수뢰,1,경기 동두천
지능범죄,통화,6,경기 동두천
지능범죄,문서인장,42,경기 동두천
지능범죄,유가증권인지,1,경기 동두천
지능범죄,사기,469,경기 동두천
지능범죄,횡령,105,경기 동두천
지능범죄,배임,4,경기 동두천
풍속범죄,성풍속범죄,23,경기 동두천
풍속범죄,도박범죄,13,경기 동두천
특별경제범죄,특별경제범죄,107,경기 동두천
마약범죄,마약범죄,25,경기 동두천
보건범죄,보건범죄,20,경기 동두천
환경범죄,환경범죄,5,경기 동두천
교통범죄,교통범죄,954,경기 동두천
노동범죄,노동범죄,0,경기 동두천
안보범죄,안보범죄,0,경기 동두천
선거범죄,선거범죄,0,경기 동두천
병역범죄,병역범죄,44,경기 동두천
기타범죄,기타범죄,372,경기 동두천
강력범죄,살인기수,7,경기 부천
강력범죄,살인미수등,13,경기 부천
강력범죄,강도,25,경기 부천
강력범죄,강간,105,경기 부천
강력범죄,유사강간,12,경기 부천
강력범죄,강제추행,291,경기 부천
강력범죄,기타강간강제추행등,7,경기 부천
강력범죄,방화,38,경기 부천
절도범죄,절도,5048,경기 부천
폭력범죄,상해,524,경기 부천
폭력범죄,폭행,3129,경기 부천
폭력범죄,체포감금,12,경기 부천
폭력범죄,협박,167,경기 부천
폭력범죄,약취유인,5,경기 부천
폭력범죄,폭력행위등,591,경기 부천
폭력범죄,공갈,82,경기 부천
폭력범죄,손괴,1158,경기 부천
지능범죄,직무유기,3,경기 부천
지능범죄,직권남용,5,경기 부천
지능범죄,증수뢰,3,경기 부천
지능범죄,통화,17,경기 부천
지능범죄,문서인장,246,경기 부천
지능범죄,유가증권인지,5,경기 부천
지능범죄,사기,5727,경기 부천
지능범죄,횡령,1084,경기 부천
지능범죄,배임,64,경기 부천
풍속범죄,성풍속범죄,360,경기 부천
풍속범죄,도박범죄,115,경기 부천
특별경제범죄,특별경제범죄,1449,경기 부천
마약범죄,마약범죄,56,경기 부천
보건범죄,보건범죄,162,경기 부천
환경범죄,환경범죄,14,경기 부천
교통범죄,교통범죄,10467,경기 부천
노동범죄,노동범죄,21,경기 부천
안보범죄,안보범죄,2,경기 부천
선거범죄,선거범죄,0,경기 부천
병역범죄,병역범죄,355,경기 부천
기타범죄,기타범죄,3804,경기 부천
강력범죄,살인기수,4,경기 성남
강력범죄,살인미수등,6,경기 성남
강력범죄,강도,30,경기 성남
강력범죄,강간,83,경기 성남
강력범죄,유사강간,12,경기 성남
강력범죄,강제추행,319,경기 성남
강력범죄,기타강간강제추행등,14,경기 성남
강력범죄,방화,29,경기 성남
절도범죄,절도,3941,경기 성남
폭력범죄,상해,734,경기 성남
폭력범죄,폭행,3149,경기 성남
폭력범죄,체포감금,21,경기 성남
폭력범죄,협박,170,경기 성남
폭력범죄,약취유인,1,경기 성남
폭력범죄,폭력행위등,577,경기 성남
폭력범죄,공갈,47,경기 성남
폭력범죄,손괴,1060,경기 성남
지능범죄,직무유기,8,경기 성남
지능범죄,직권남용,7,경기 성남
지능범죄,증수뢰,2,경기 성남
지능범죄,통화,45,경기 성남
지능범죄,문서인장,197,경기 성남
지능범죄,유가증권인지,1,경기 성남
지능범죄,사기,4229,경기 성남
지능범죄,횡령,1038,경기 성남
지능범죄,배임,60,경기 성남
풍속범죄,성풍속범죄,315,경기 성남
풍속범죄,도박범죄,115,경기 성남
특별경제범죄,특별경제범죄,1749,경기 성남
마약범죄,마약범죄,79,경기 성남
보건범죄,보건범죄,244,경기 성남
환경범죄,환경범죄,4,경기 성남
교통범죄,교통범죄,8900,경기 성남
노동범죄,노동범죄,9,경기 성남
안보범죄,안보범죄,2,경기 성남
선거범죄,선거범죄,2,경기 성남
병역범죄,병역범죄,362,경기 성남
기타범죄,기타범죄,3297,경기 성남
강력범죄,살인기수,6,경기 수원
강력범죄,살인미수등,7,경기 수원
강력범죄,강도,38,경기 수원
강력범죄,강간,157,경기 수원
강력범죄,유사강간,21,경기 수원
강력범죄,강제추행,425,경기 수원
강력범죄,기타강간강제추행등,23,경기 수원
강력범죄,방화,40,경기 수원
절도범죄,절도,6487,경기 수원
폭력범죄,상해,938,경기 수원
폭력범죄,폭행,4123,경기 수원
폭력범죄,체포감금,25,경기 수원
폭력범죄,협박,272,경기 수원
폭력범죄,약취유인,10,경기 수원
폭력범죄,폭력행위등,1101,경기 수원
폭력범죄,공갈,89,경기 수원
폭력범죄,손괴,1497,경기 수원
지능범죄,직무유기,7,경기 수원
지능범죄,직권남용,12,경기 수원
지능범죄,증수뢰,3,경기 수원
지능범죄,통화,32,경기 수원
지능범죄,문서인장,315,경기 수원
지능범죄,유가증권인지,6,경기 수원
지능범죄,사기,5749,경기 수원
지능범죄,횡령,1231,경기 수원
지능범죄,배임,62,경기 수원
풍속범죄,성풍속범죄,368,경기 수원
풍속범죄,도박범죄,343,경기 수원
특별경제범죄,특별경제범죄,1596,경기 수원
